,PC_ID,title,loose_price,cib_price,new_price,image_link
51,30890,Arcade Shooting Gallery Bundle,11.54,15.00,30.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95D6lAcPeEE-heNh9CAL8IywuW3CbUAHMcMsvYz3RzIqA7mpApdkHWpI_48IDIAFd9CWcWVMm4ko05Tan9zMP5D9U5lyZ8iL5wtqlHoAwKwFHYlDvfzBGcQOcIv9Lr1pwI5XOfzPd8dNBQRndOkKeoRd22EQg/60.jpg
52,19579,Arcade Zone,6.90,8.70,17.51,https://commondatastorage.googleapis.com/images.pricecharting.com/c277d2be06b536579f622f6ae3db9c07afb69fe6997ac251d044cf140d35adae/60.jpg
53,9402,Arctic Tale,4.49,4.93,6.88,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94K_D1CyAY2AHdmvMklVqo7Otw0zq7zvuS71sr6sd-XUZf-nWyO7UElooV2QrQSwyZDL0amdbf6uXlu73heO8RA324Q8Ta1GCUKJp0a9cs3KuZGTwsghVz2KMeb8vvl7nUODZvJ-yfm-w-CqLC9nr9rHr1fww/60.jpg
54,30659,Are You Smarter Than A 5th Grader? Back to School,4.50,6.27,9.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96ECcDXyM7hoV4366EAPEF-mlXx1_h6sosiR4Tb6GizuB8zj6YnjVOi2stq2jo1cXG5ZK5pRccZYv8lu91P_2IrV-VY6M1JaXZf8ZZmnMJ3gFYA0g3P_ezJuc-qlihASvJuhjPAQXDa4JPEjha2pF4PfVGMmw/60.jpg
55,19847,Are You Smarter Than A 5th Grader? Game Time,4.40,5.65,9.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96RBn5Oh2DPghYUh5Jws4e9KIfs8thystPiFL0FYEigqnjirEaFqfY783dD6IiBXScIUBuMPprepySyOzV7UulJbSc87bu31t8V1JQdkR4pNSry1CHGV4OWOZNDLkniKdkNPUQoBWa12vrHdX_bxP5S96ql_w/60.jpg
56,15771,Are You Smarter Than A 5th Grader? Make the Grade,3.72,5.21,8.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97S2Zf2l1KAdygzfc9ocdh1uTy_NPAFeih5Fm8vNbx5_qAcf-RVMQYO3_HELo1kSN-j9WqENFDLOOWi1Ak0AVI0Z_cjbO5ZairydqWJwEu66pQ7XaEh52g_z94KA5t-FXpFNZGSafhWr3D8WH3Thw27ONgygA/60.jpg
57,15689,Army Men Soldiers of Misfortune,4.03,5.71,8.49,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96Qlt9kg5SvO_6y0EGYHdFt__jy_dFk7foyqQGjUMAXAPI4LameQXKr7TuFTkzlMRf20vSKM4z8cp0zdOSCjOAyopv2Kcwxa6ffVwFZHq_OgbyHzUqRXhenUvPokjbascxWsWCAzXIjft4OoJTh1dtfyZ0KEg/60.jpg
58,30891,Army Rescue,3.39,3.42,7.39,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94uPRhIOgb2hi7xmLmNv0YZvb02Onj5etOdC7lNila1Ndt4HSQmNGFnyS5xIxpe6GHx6hFHtq3GseX1QMQU8s5LCJ-54TUgogIhBU0voVLZkw3SOFeMAAusm0IR9P15CzfYe1ZiNaBSJoqWDq2uI2wOHkHaEg/60.jpg
59,30892,Around the World In 50 Games,5.64,8.54,11.05,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97vZjD5Vbn8n33saZct4VdVX7ebOXOlnYDdIi8BsZhW10uWi0VY5LZ29Qwnyo-v2giJcZyaf4S5izOQb5SzsmpGWuJ6MiUDywbz0x_En39q8vOLzlcGsg_gYYWMAygClvLdKUWHgQnxCR1_SIROsMqi9eT6Cg/60.jpg
60,19792,Astro Boy: The Video Game,6.23,6.88,16.71,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv9605hLvkR8t-BCbn35xyPvJcqXd8xrCNoZKEDxfOlIym3Hzfabgo0mrTOv-f5-dJJOJuipPaPLKu_MZ6pcz6C_KPtHopTnkotS7kW0iGTjbPTOUUIYsogIKRIpAAw6zCYEPG0Jq4iAdB6lTnWwZ_55-tQnKUA/60.jpg
