,Platform,PC_ID,Merged_Title,loose_price,cib_price,new_price
173,Wii,6801.0,SCARFACETHEWORLDISYOURS,25.34,29.99,56.44
174,Wii,11877.0,SEGASUPERSTARSTENNIS,5.5,6.99,15.68
175,Wii,22166.0,SENGOKUBASARASAMURAIHEROES,13.62,20.64,44.99
176,Wii,20411.0,SHIRENTHEWANDERER,61.95,63.58,109.48
177,Wii,20108.0,SILENTHILLSHATTEREDMEMORIES,74.66,77.25,150.0
178,Wii,21571.0,SINPUNISHMENTSTARSUCCESSOR,28.0,31.08,38.08
179,Wii,0.0,SMARTYPANTS,,,
180,Wii,16365.0,SONICTHEBLACKKNIGHT,9.4,12.04,28.8
181,Wii,16007.0,SONICUNLEASHED,9.25,10.79,26.99
182,Wii,11033.0,SONICTHESECRETRINGS,7.99,9.47,17.79
183,Wii,19235.0,SPACECAMP,3.26,4.54,13.25
184,Wii,16109.0,SPRAY,4.04,6.69,11.5
185,Wii,11453.0,SPYGAMESELEVATORMISSION,4.3,4.91,7.15
186,Wii,19646.0,SPYBORGS,10.0,11.61,21.66
187,Wii,19751.0,SQUEEBALLSPARTY,6.39,6.89,14.84
188,Wii,10561.0,STARTREKCONQUEST,9.9,9.97,28.06
189,Wii,16423.0,STORYHOURADVENTURES,4.45,5.57,4.97
190,Wii,20067.0,STORYBOOKWORKSHOP,4.25,6.11,7.13
191,Wii,30822.0,SUPERMARIOALLSTARSLIMITEDEDITION,30.46,32.03,59.46
192,Wii,10562.0,SUPERMARIOGALAXY,12.55,14.72,52.68
193,Wii,21371.0,SUPERMARIOGALAXY2,23.99,25.0,51.8
194,Wii,10798.0,SUPERPAPERMARIO,15.0,19.72,59.81
195,Wii,11865.0,SUPERSMASHBROSBRAWL,14.75,17.79,51.99
196,Wii,10928.0,SUPERSWINGGOLFSEASON2,6.23,7.25,14.9
197,Wii,22031.0,SWORDS,7.82,8.49,14.13
198,Wii,15952.0,TALESOFSYMPHONIADAWNOFTHENEWWORLD,11.52,11.96,37.85
199,Wii,11543.0,TAMAGOTCHIPARTYON,6.56,7.56,15.8
200,Wii,20376.0,TATSUNOKOVSCAPCOMULTIMATEALLSTARS,39.12,42.5,109.97
201,Wii,16265.0,TENCHUSHADOWASSASSINS,5.73,8.23,21.82
202,Wii,19323.0,THECONDUIT,9.49,9.61,19.68
203,Wii,18738.0,THEDESTINYOFZORRO,4.38,4.88,9.47
204,Wii,14122.0,THEHOUSEOFTHEDEAD23RETURN,16.99,17.88,42.78
205,Wii,16282.0,THEHOUSEOFTHEDEADOVERKILL,17.99,22.82,38.44
206,Wii,32433.0,THEKOREGANG,17.06,21.15,34.95
207,Wii,32991.0,THELASTSTORY,49.14,60.0,83.69
208,Wii,0.0,THELEGENDOFZELDATWILIGHTPRINCESS,,,
209,Wii,0.0,THEMONKEYKINGTHELEGENDBEGINS,,,
210,Wii,0.0,TONYHAWKSDOWNHILLJAM,,,
211,Wii,16401.0,TOTALLYSPIESTOTALLYPARTY,5.9,8.3,17.5
212,Wii,19620.0,TOYSTORYMANIA,6.02,7.4,19.99
213,Wii,10802.0,TRAUMACENTERSECONDOPINION,7.61,9.5,31.5
214,Wii,10886.0,TRAUMACENTERNEWBLOOD,9.13,10.47,22.75
215,Wii,0.0,TRIPLECROWNCHAMPIONSHIPSNOWBOARDING,,,
216,Wii,10084.0,ULTIMATEBOARDGAMECOLLECTION,4.17,4.92,9.7
217,Wii,16227.0,ULTIMATESHOOTINGCOLLECTION,33.14,36.98,49.99
218,Wii,19675.0,VALHALLAKNIGHTSELDARSAGA,14.81,16.11,31.47
219,Wii,21617.0,VEGASPARTY,6.77,6.9,9.59
220,Wii,31272.0,WWEALLSTARS,9.98,12.26,36.99
221,Wii,19649.0,WACKYWORLDOFSPORTS,7.98,8.37,18.99
222,Wii,20355.0,WALKITOUT,8.2,9.66,25.44
223,Wii,15064.0,WARIOLANDSHAKEIT,16.79,19.31,54.99
224,Wii,11191.0,WARIOWARESMOOTHMOVES,15.01,18.84,59.28
225,Wii,14151.0,WESKI,4.29,5.4,8.5
226,Wii,16366.0,WESKISNOWBOARD,8.59,9.41,16.79
227,Wii,0.0,WIIFIT,,,
228,Wii,15766.0,WIIMUSIC,5.09,6.33,11.04
229,Wii,13255.0,WIIPLAY,5.17,7.02,11.29
230,Wii,14613.0,WIISPORTS,14.94,19.24,34.92
231,Wii,13226.0,WILDEARTHAFRICANSAFARI,3.13,5.34,7.62
232,Wii,16057.0,WINTERSPORTS2THENEXTCHALLENGE,5.83,5.97,9.7
233,Wii,18669.0,WORDJONGPARTY,4.09,4.9,7.57
234,Wii,20123.0,WORLDPARTYGAMES,5.23,5.45,7.68
235,Wii,30777.0,WORMSBATTLEISLANDS,11.83,11.99,24.17
236,Wii,10373.0,ZACKWIKIQUESTFORBARBAROSTREASURE,10.99,13.51,34.99
