"Platform","Game Summary","Publisher","3D","Title","Series","Series Order","Rating","Genre","Subgenre","IGN Score","Release Date","Developers","Players","Country of Purchase","Input Devices","Media Type","Special Edition","Discs","Packaging","Quantity","Estimated Value","Purchase Price","Purchase Date","Condition","Notes","Barcode","Item ID","Date Added", Collection/Wishlist
"3DS","","Koei","Yes","Samurai Warriors: Chronicles","","","T","Action, Adventure","","5.0","2011-03-27","Omega Force","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$12.99","$12.99","2011-12-22","","","040198002158","1221315","2019-01-03 22:52:45",Collection
"DS","","Sega","No","Sands of Destruction","","","T","Role Playing Game","","7.4","2010-01-12","Sega","1","United States","Handheld Console","Cartridge","No","1","Snap Case","1","$11.69","$11.69","2012-07-27","Used","Complete in Case
GameStop","010086670271","964365","2019-01-03 21:13:25",Collection
"DS","","Red Wagon Games","","Santa Claus Is Comin’ To Town!","","","E","Adventure","","","1969-12-31","","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$4.99","$4.99","2012-04-12","Used","Complete in Case","650008501049","1225481","2019-01-03 15:06:25",Collection
"DS","","Destineer","No","Satisfashion Rock The Runway","","","E","","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$4.11","2020-01-01","New","Sealed in Case
eBay","828068212889","1388612","2020-01-20 23:41:36",Collection
"Wii","44","Sierra Entertainment","No","Scarface: The World is Yours","","","M","Action, Adventure, Sandbox, Third Person Shooter","","8.7","2006-10-06","Vivendi Games","1","United States","Motion Sensing Remote","DVD","","1","Snap Case","1","","","","Complete In Case","","020626726689","1461650","2023-09-30 13:51:50",Collection
"DS","","Activision","No","Science Papa","","","","Educational","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$5.47","2020-01-24","Used","Complete in Case
Lukie Games","047875759138","1010570","2020-02-15 17:30:45",Collection
"3DS","","WB Games","Yes","Scooby-Doo & Looney Tunes Cartoon Universe: Adventure","","","E","","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","","","Complete In Case","???","883929422548","1469622","2019-04-14 21:29:59",Collection
"DS","","WB Games","No","Scooby-Doo! First Frights","","","E10+","Action","","5.0","2009-10-09","Torus Games","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$3.71","2019-01-05","Used","Complete in Case
eBay","883929077755","987331","2019-01-11 22:52:25",Collection
"DS","","THQ","No","Scooby-Doo! Unmasked","","","E","Adventure, Platform, Side Scrolling","","","1969-12-31","THQ","1","United States","Handheld Console","Cartridge","","","Snap Case","1","","$14.99","2020-01-25","Complete In Case","GameStop - Online","785138361024","1421726","2020-02-02 20:59:58",Collection
"DS","","THQ","No","Scooby-Doo! Who’s Watching Who?","","","E","Adventure","","","1969-12-31","Human Soft","1","United States","Handheld Console","Cartridge","No","0","Snap Case","1","$7.87","$7.87","2018-12-25","Complete In Case","Mercari","785138361208","1002510","2019-01-03 19:48:14",Collection
